repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
lhr sill,LHR sill.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
light panel i06b impact,light panel]•i06b [impact.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
light panel i17d impact,light panel]•i17d [impact.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
light structural please note this vehicle is listed on the written off vehicle register,light structural]please note: this vehicle is listed on the written off vehicle register.,Hard-avoid skipped,Ignore as boilerplate,boilerplate,boilerplate_inspection_recommendation,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
lining in rear cargo area stained,lining in rear cargo area stained.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
low coolant light on dash,low coolant light on dash.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_overheating,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
low oil warning light and other warning lights on,low oil warning light and other warning lights on.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
low tyre pressure warning light,low tyre pressure warning light.,Hard-avoid skipped,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
lower side doors,lower side doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
marks in boot medium scuff on various places engine lacks power engine light on,marks in boot medium scuff on various places engine lacks power engine light on.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium dent next to back left light damaged back left light with a slight crack engine light on,medium dent next to back left light damaged back left light with a slight crack engine light on.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium dent on rear bumper engine oil leak seat torn rhf,medium dent on rear bumper engine oil leak seat torn rhf.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium dents on passenger side rear door and quarter panel,medium dents on passenger side rear door and quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
medium dents on various parts on roof,medium dents on various parts on roof.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
medium dents rhf and lhf guard,medium dents rhf and lhf guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
medium scratch on front bumper transmission requires attention strongly recommend inspection by qualified third party,medium scratch on front bumper transmission requires attention strongly recommend inspection by qualified third party.,Hard-avoid skipped,Ignore as boilerplate,boilerplate,boilerplate_inspection_recommendation,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
medium scratch on rear bumper paint fading various panels medium dent on rhf door engine lacks power engine noise observed,medium scratch on rear bumper paint fading various panels medium dent on rhf door engine lacks power engine noise observed.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium scratch on various parts on panels engine light on,medium scratch on various parts on panels engine light on.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
medium scuff on various places paint fading various places engine light on,medium scuff on various places paint fading various places engine light on.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
mehcnaic comment suspect head gasket failure causing over pressurization of cooling system leading to the blow off of lower hose fromradiator,mehcnaic comment - suspect head gasket failure causing over pressurization of cooling system leading to the blow off of lower hose fromradiator.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_overheating,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
middle and left seats,middle and left seats.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
minor stone chips to front bumper,minor stone chips to front bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
mirrors and roof,mirrors and roof.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
missing large scratch on various panels large scuff on various panels paint peeling various places engine oil leak dents or marks on body consistent with age and kilometres,missing large scratch on various panels large scuff on various panels paint peeling various places engine oil leak dents or marks on body consistent with age and kilometres.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
mold evident in rear floor,Mold evident in rear floor.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
no bonnet catch,No bonnet catch.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
noise coming from rear d bushings,noise coming from rear d bushings.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
non running vechile cars locked tilt tray required for collection,non running vechile cars locked tilt tray required for collection.,Hard-avoid skipped,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
non running vehicle tilt tray required on collection,non running vehicle tilt tray required on collection.,Hard-avoid skipped,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
note this vehicle is listed on the written off vehicle register wovr,note: this vehicle is listed on the written off vehicle register (wovr).,Hard-avoid skipped,Ignore as boilerplate,boilerplate,boilerplate_inspection_recommendation,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
notes from vendor please inspect to confirm please note that no receipts are provided and we cannot confirm the work done rear diff lock serviced every 10,notes from vendor (please inspect to confirm) - please note that no receipts are provided and we cannot confirm the work done: - rear diff lock - serviced every 10.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
oil leak detected,oil leak detected.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
oil leak top of engine causign smoke once warm,oil leak top of engine causign smoke once warm.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
oil leak visible in engine bay,oil leak visible in engine bay.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
oil mixed with engine coolant,oil mixed with engine coolant.,Hard-avoid skipped,Add dictionary rule,mechanical,oil_mixed_with_engine_coolant,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
oil warning light on,oil warning light on.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light,other warning light.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on 4wd light flashing,other warning light on-4wd light flashing.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on front seat marks drivers seat paint peeling rear medium scuff on rhf bumper,other warning light on front seat marks drivers seat paint peeling rear medium scuff on rhf bumper.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on low coolant,other warning light on-low coolant.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on low coolant warning showing,other warning light on -low coolant warning showing.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on medium scratch on rear bumper,other warning light on medium scratch on rear bumper.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on medium scuff on lh front bumper,other warning light on medium scuff on lh front bumper.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
other warning light on temperature warning light,other warning light on - temperature warning light.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint bubbling on drivers door,paint bubbling on drivers door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade bonnet and tailgate,paint fade bonnet and tailgate.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade front bumper,paint fade front bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade on boot,paint fade on boot.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade on roof spoiler,paint fade on roof spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade roof and bonnet,paint fade roof and bonnet.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fade spoiler,paint fade spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint faded around vehicleairbag warning light on,paint faded around vehicleairbag warning light on.,Hard-avoid skipped,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint fading all door handles,paint fading all door handles.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading along panel,paint fading along panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading along the rear passenger doors,paint fading along the rear passenger doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading back and the passenger door,paint fading back and the passenger door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet and rear bumper,paint fading bonnet and rear bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet and some palces,paint fading bonnet and some palces.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet and tailgate spoiler,paint fading bonnet and tailgate spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet and top of guards,paint fading bonnet and top of guards.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet medium dent on bonnet driveline requires attention,paint fading bonnet medium dent on bonnet driveline requires attention.,Hard-avoid skipped,Add dictionary rule,mechanical,driveline_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint fading bonnet roof spoiler,paint fading bonnet roof spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading boot wing,paint fading boot wing.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading both rear view mirrors,paint fading both rear view mirrors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading both right side doors,paint fading both right side doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading driver rear door handle,paint fading driver rear door handle.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading driver side front guard,paint fading driver side front guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading driver side rear quarter panel and cant rail,Paint fading Driver side rear quarter panel and cant rail.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading drivers door,paint fading drivers door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading drivers side front guard,paint fading drivers side front guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front bar,paint fading front bar.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front bar below logo,paint fading front bar below logo.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front bumper and mirrors,paint fading front bumper and mirrors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front bumper bar,paint fading front bumper bar.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front grill,paint fading front grill.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front guards,Paint fading Front guards.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading front right and left fender boot,paint fading front right and left fender boot.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading guards and bonnet,paint fading guards and bonnet.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading in the roof,paint fading in the roof.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading left panel,paint fading left panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading left rear door,paint fading left rear door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading left side of the front bumper,paint fading left side of the front bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading left side of vehicle,Paint fading Left side of vehicle.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading near back right wheel,paint fading near back right wheel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on drivers door,paint fading on drivers door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on hood and spoiler,paint fading on hood and spoiler.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on passenger side mirror,paint fading on passenger side mirror.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on rear bumper,paint fading on rear bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on roof and tail gate,paint fading on roof and tail gate.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading on roof spoiler and other various panels,paint fading on roof spoiler and other various panels.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading passenger side rear,paint fading passenger side & rear.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear and front bumper,paint fading rear and front bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear boot panel,paint fading rear boot panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear bumper and quarter panels,paint fading rear bumper and quarter panels.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear bumper and rhr door,paint fading rear bumper and rhr door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear driver side,paint fading rear driver side.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear hatch lid,paint fading rear hatch lid.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear of vehicle and roof,paint fading rear of vehicle and roof.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear plastics,paint fading rear plastics.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear right fender,paint fading rear right fender.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rear wing and exterior plastics,paint fading rear wing and exterior plastics.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rh front guard,Paint fading RH front guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rh rear door and guard,Paint fading RH rear door and guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rhf bumper,paint fading rhf bumper.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rhf door,paint fading rhf door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading rhr guard,paint fading rhr guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and exterior trim,paint fading roof and exterior trim.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and guards,paint fading roof and guards.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and rear left quarter panel,paint fading roof and rear left quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and spots around vehicle,paint fading roof and spots around vehicle.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading roof and tail gate,paint fading roof and tail gate.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading tailgate lid,paint fading tailgate lid.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading top of tailgate and roof,paint fading top of tailgate and roof.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading top of tailgate and side trims,paint fading top of tailgate and side trims.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading various parts of panel some places,paint fading various parts of panel & some places.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
paint fading various parts on panels medium scratch on various parts on panels other warning light on traction control light on,paint fading various parts on panels medium scratch on various parts on panels other warning light on traction control light on.,Hard-avoid skipped,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint fading various places engine light on airbag light on other warning light on suspected broken engine mount loud exhaust jump start required the boot can only be opened by crawling through the interior and using the emergency latch seat torn driver side,paint fading various places engine light on airbag light on other warning light on suspected broken engine mount loud exhaust jump start required the boot can only be opened by crawling through the interior and using the emergency latch seat torn driver side.,Hard-avoid skipped,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint peeling rear spoiler engine oil leak,paint peeling rear spoiler engine oil leak.,Hard-avoid skipped,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
paint peeling various places medium dent on driver door other warning light on,paint peeling various places medium dent on driver door other warning light on.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
passenger door scratched,passenger door scratched.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger door will not open from outside,passenger door will not open from outside.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger front bumper disjointed,passenger front bumper disjointed.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger quarter and roofquarter,passenger quarter and roofquarter.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger quarter panel,passenger quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger quarter panel and passenger guard,passenger quarter panel and passenger guard.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger quarter panel just above taillight,passenger quarter panel just above taillight.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger rear quarter panel,passenger rear quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger rear tyre flat,passenger rear tyre flat.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side a pillar,Passenger side A pillar.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side door s,passenger side door’s.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side doors,passenger side doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side front door and sill panels,passenger side front door and sill panels.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side front hub cap mismatched,passenger side front hub cap mismatched.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side headlight,passenger side headlight.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side mirror,passenger side mirror.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side mirror cover,passenger side mirror cover.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side mirror different colour,passenger-side mirror different colour.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side rear bar reflector,passenger side rear bar reflector.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side rear door mould,passenger side rear door mould.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side rear foglight,passenger side rear foglight.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side rear quarter panel paint fading bonnet,passenger side rear quarter panel paint fading bonnet.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger side rear reversing light,passenger side rear reversing light.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger tyre going flat,passenger tyre going flat.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passenger window button drivers side panel,passenger window button drivers side panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passengers rear barn door,passengers rear barn door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passengers rear door and quarter panel,passengers rear door and quarter panel.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passengers rear window siliconed shut,passengers rear window siliconed shut.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
passengers sliding door,passengers sliding door.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
personal property and chemical left in boot,personal property and chemical left in boot.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
plastic roof panels,plastic roof panels.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
quarter and sill,quarter and sill.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
radiator warning light,radiator warning light.,Hard-avoid skipped,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26 pass 2
rear back doors,rear back doors.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
rear bar and both side skirts,rear bar and both side skirts.,Hard-avoid skipped,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26 pass 2
